reviews,seat_type,date,country,recommend
"""happy with product and would use again""",Business Class,2020-12-07,United Kingdom,yes
"""It's not at all child friendly""",Economy Class,2020-12-02,United Kingdom,no
"""my experience with BA was very positive""",Economy Class,2020-10-22,United Kingdom,yes
"""refunded my tickets within 2 working days""",Economy Class,2020-10-22,Germany,yes
"""Everything was nice except food""",Economy Class,2020-10-05,Poland,no
"""Everything I expected""",Business Class,2020-09-23,Poland,yes
"""told that the check-in had closed""",Economy Class,2020-09-18,United Kingdom,no
"""I filed a claim""",Economy Class,2020-08-27,United States,no
"""lack of social distancing""",Economy Class,2020-08-08,Germany,no
"""I was pleasantly surprised""",Economy Class,2020-08-01,Thailand,yes
"""have to call to redeem the voucher""",Premium Economy,2020-07-31,United Kingdom,no
"""Service is non-existent""",Economy Class,2020-07-23,United States,no
"""BA has failed completely""",Economy Class,2020-07-23,United Kingdom,no
"""This is appalling business practice!""",Economy Class,2020-06-11,United Kingdom,no
"""efficient, clean and punctual""",Economy Class,2020-06-08,United Kingdom,yes
""" Total rip off""",First Class,2020-06-06,United States,no
"""totally ripped off by BA""",Business Class,2020-06-04,United States,no
"""tickets should have been refunded""",Economy Class,2020-05-29,United States,no
"""unable to offer a full refund""",Premium Economy,2020-05-18,United Kingdom,no
"""no refund or voucher""",Business Class,2020-05-12,United States,no
"""withholding my money""",Economy Class,2020-05-10,Canada,no
"""all about money with them""",Premium Economy,2020-05-01,United Kingdom,no
"""arrived 3 hrs 25 mins late""",Economy Class,2020-04-29,United States,no
"""it definitely lived up to my expectations""",Business Class,2020-04-28,United Kingdom,yes
"""cabin crew were friendly and professional""",Business Class,2020-04-27,United Kingdom,yes
"""never use this airline again""",Economy Class,2020-04-27,United Kingdom,no
"""avoid BA as much as possible""",Economy Class,2020-04-25,Switzerland,no
"""trying every trick in the book""",Business Class,2020-04-19,United Kingdom,no
"""stands out in many areas""",Economy Class,2020-04-19,Poland,yes
"""laptop was left inside the flight""",Economy Class,2020-04-11,United Kingdom,no
"""worst sort of management bureaucracy""",Economy Class,2020-04-04,United Kingdom,no
"""poor customer service""",Economy Class,2020-04-02,United Kingdom,no
"""lies and lack of informatio""",Business Class,2020-04-02,United Kingdom,no
"""understand the turmoil caused by Covid-19""",Economy Class,2020-04-01,United Kingdom,no
"""A voucher is not sufficient""",Economy Class,2020-03-31,United Kingdom,no
"""use the travel credit by May 2020""",Economy Class,2020-03-23,United States,no
"""thank our crew in particular""",Premium Economy,2020-03-22,United Kingdom,yes
"""such deceitful practices""",Economy Class,2020-03-18,United Kingdom,no
"""not surprised they are in trouble""",Economy Class,2020-03-17,United Kingdom,no
"""narrow business class facing seats""",Business Class,2020-03-17,United Kingdom,no
"""airline needs major overhaul""",Business Class,2020-03-17,United Kingdom,no
"""still forcing people to fly to Madrid""",Economy Class,2020-03-16,United Kingdom,no
"""unfriendly and inconsiderate to me""",Economy Class,2020-03-14,Argentina,no
"""live in a conceited bubble""",Business Class,2020-03-13,United Kingdom,no
"""rude staff and service""",Economy Class,2020-03-09,Germany,no
"""BA has really upped their game""",Economy Class,2020-03-08,United Kingdom,yes
"""friendly and helpful""",Economy Class,2020-03-06,Hong Kong,yes
"""Very happy with the service""",Economy Class,2020-03-05,United Kingdom,yes
"""positive, friendly attitude""",Economy Class,2020-03-05,United Kingdom,yes
"""flights to Italy for March, all cancelled""",Business Class,2020-03-03,United Kingdom,no
"""never use British Airways again""",Economy Class,2020-03-03,Australia,no
"""Food and drinks are expensive""",Economy Class,2020-02-28,United Kingdom,no
"""the crew were outstanding""",Premium Economy,2020-02-28,United Kingdom,yes
British Airways customer review,Business Class,2020-02-27,United Kingdom,no
"""food is the standout problem""",First Class,2020-02-26,United Kingdom,no
"""came to me to give me his pillow""",Premium Economy,2020-02-24,United States,no
"""service that needs training""",Business Class,2020-02-23,United States,no
"""packed out seating""",Economy Class,2020-02-21,United Kingdom,no
"""require a transit visa""",Economy Class,2020-02-15,South Africa,no
"""backward facing seats""",Business Class,2020-02-14,United States,no
"""I want a refund""",Economy Class,2020-02-14,United Kingdom,no
"""crew was amazingly kind and lovely""",Economy Class,2020-02-05,Mexico,yes
"""a good experience with no major complaints""",Business Class,2020-02-04,United Kingdom,yes
"""Arriving late to board""",Economy Class,2020-02-02,Australia,no
"""a pathetic premium cabin""",Business Class,2020-02-01,United Kingdom,no
"""fly this airline again""",Economy Class,2020-01-30,Australia,yes
"""breakfast become rather perfunctory""",Business Class,2020-01-29,United Kingdom,yes
"""very disappointing service""",Business Class,2020-01-29,United Kingdom,no
"""roller coaster of incompetence""",Business Class,2020-01-28,Sweden,no
"""SLOW lounge continues to impress""",Business Class,2020-01-28,United Kingdom,yes
"""thank you for your service and kindness""",Economy Class,2020-01-28,Denmark,yes
"""more than acceptable service""",Business Class,2020-01-28,United States,yes
"""only saving grace was a superb cabin staff""",Economy Class,2020-01-26,United Kingdom,no
"""the service was good""",Economy Class,2020-01-25,India,yes
"""refund for seat assignments""",Economy Class,2020-01-23,United States,no
"""still consider other airlines""",Economy Class,2020-01-22,Canada,yes
"""sleeping was quite impossible""",First Class,2020-01-21,United Kingdom,yes
"""Layout of Boeing 787 cabin is poor""",Economy Class,2020-01-20,France,no
"""luggage was not loaded""",Business Class,2020-01-20,Singapore,no
"""Everything went like clockwork""",Economy Class,2020-01-20,Poland,yes
"""I would recommend BA""",Economy Class,2020-01-18,United Kingdom,yes
"""never fly BA again""",Economy Class,2020-01-18,United Kingdom,no
"""need to move with the times""",Business Class,2020-01-17,United Kingdom,yes
"""offer a kids free zone""",Business Class,2020-01-17,United Kingdom,no
"""Overall a good flight""",Business Class,2020-01-16,United Kingdom,yes
"""a very comfortable flight""",Economy Class,2020-01-14,India,yes
"""my husbands seat was broken""",Business Class,2020-01-12,United Kingdom,no
"""My food was bad""",Premium Economy,2020-01-12,United Kingdom,no
"""could not fault one aspect of the service""",Business Class,2020-01-11,United Kingdom,yes
"""All in all great service""",Business Class,2020-01-11,United Kingdom,yes
"""disappointed by the service""",Business Class,2020-01-11,United Kingdom,yes
"""Crew very friendly""",Business Class,2020-01-11,United Kingdom,yes
"""my food was inedible""",Economy Class,2020-01-07,Canada,no
"""staff were incredibly rude and lazy""",Economy Class,2020-01-07,United Kingdom,no
"""job's worth high handed attitude""",Business Class,2020-01-06,Saint Kitts and Nevis,no
"""They have the worst customer service""",Business Class,2020-01-06,United States,no
"""BA product is now tired""",Economy Class,2020-01-05,United Kingdom,no
"""no sandwiches left to purchase""",Economy Class,2020-01-04,United Kingdom,no
"""another very good flight""",Business Class,2020-01-03,United Kingdom,yes
"""don't provide free food and drink""",Economy Class,2019-12-30,Greece,no
"""way below expected service""",Economy Class,2019-12-30,United Kingdom,no
"""onboard charity collection is inappropriate""",Economy Class,2019-12-29,Vietnam,yes
"""staff were so friendly""",Economy Class,2019-12-27,South Africa,yes
"""comfort and service superb""",Economy Class,2019-12-27,Australia,yes
"""good overall experience""",Business Class,2019-12-24,United Kingdom,yes
"""cabin crew were very friendly""",Business Class,2019-12-24,United Kingdom,yes
"""delayed by 20 mins""",Economy Class,2019-12-22,Germany,no
"""middle name was not on her ticket""",Economy Class,2019-12-21,United Kingdom,no
"""charged 4 times for one bag""",Economy Class,2019-12-18,United States,no
"""cabin manager did not greet me""",Economy Class,2019-12-18,Australia,no
"""no proof I paid for them""",Premium Economy,2019-12-16,United States,no
"""Awful airline""",Economy Class,2019-12-15,United Kingdom,no
""" Flight is again delayed""",Economy Class,2019-12-14,United Kingdom,no
"""This flight was a delight""",Business Class,2019-12-13,United States,yes
"""we had to print out boarding passes""",Economy Class,2019-12-11,United Kingdom,no
"""You get what you pay for""",Business Class,2019-12-10,Ireland,yes
"""Awful, rude airline""",Economy Class,2019-12-08,United Kingdom,no
"""Seats the same as economy""",Business Class,2019-12-08,Sweden,yes
"""we had limited recline seats seats""",Economy Class,2019-12-08,United Kingdom,no
"""Overall a good flight""",Business Class,2019-12-08,United Kingdom,yes
"""crew are so friendly""",First Class,2019-12-08,Sweden,yes
"""excellent with service""",Business Class,2019-12-08,Sweden,yes
"""cabin crew where fantastic""",Economy Class,2019-12-08,Australia,yes
"""utter nightmares""",Business Class,2019-12-04,United States,no
"""the shortage of staff""",Business Class,2019-12-04,United Kingdom,no
"""lacks personalized attention""",Business Class,2019-12-02,Belgium,no
"""missed my connecting flight""",Economy Class,2019-11-28,Norway,no
"""said that I need to check my baggage""",Economy Class,2019-11-27,Czech Republic,no
"""inflight service was distinctly average""",Business Class,2019-11-26,United Kingdom,yes
"""delayed due to maintenance""",Premium Economy,2019-11-25,India,no
"""cabin crew were so kind""",Economy Class,2019-11-24,United Kingdom,yes
"""Will never fly BA again""",Economy Class,2019-11-24,United States,no
"""very disappointed with the service they provide""",Economy Class,2019-11-20,United Kingdom,no
"""Surprisingly good flight""",Economy Class,2019-11-19,Malaysia,yes
"""plane was old and cramped""",Economy Class,2019-11-18,United Kingdom,no
"""Movie selection below average""",Economy Class,2019-11-18,United Kingdom,no
"""What a disappointment of an airline""",Business Class,2019-11-18,Australia,no
"""I begrudge flying with them""",Economy Class,2019-11-18,United Kingdom,no
"""excellent premium host service""",Business Class,2019-11-17,Netherlands,yes
"""a remarkably bad experience""",Economy Class,2019-11-16,Ireland,no
"""It used to be a good airline""",Economy Class,2019-11-16,Australia,no
"""left a great deal to be desired""",Business Class,2019-11-13,United Kingdom,no
"""Food was fairly good both ways""",Economy Class,2019-11-13,United Kingdom,yes
"""a very friendly and welcoming crew""",Economy Class,2019-11-12,United Kingdom,yes
"""Great service on this flight""",Economy Class,2019-11-11,United Kingdom,yes
"""They were friendly, welcoming""",Economy Class,2019-11-11,United Kingdom,yes
"""find an alternative airline""",Economy Class,2019-11-10,United Kingdom,no
"""pleased with all aspects""",Business Class,2019-11-10,United Kingdom,yes
"""still awaiting a refund""",Economy Class,2019-11-07,Australia,no
"""loved every minute of the flight""",Business Class,2019-11-02,United Kingdom,yes
"""don’t trust BA with your loved ones""",Economy Class,2019-11-02,United Kingdom,no
"""downgraded to premium economy""",Premium Economy,2019-10-31,Canada,no
"""seems they were understaffed""",Business Class,2019-10-31,United States,no
"""offering an ultra low cost service""",Economy Class,2019-10-31,United Kingdom,yes
"""Food was fine and service friendly""",Economy Class,2019-10-30,United Kingdom,yes
"""Service was fantastic""",Economy Class,2019-10-30,Canada,yes
"""check in counter was closed""",Economy Class,2019-10-29,United Kingdom,no
"""no free food nor drink""",Economy Class,2019-10-29,Switzerland,no
"""we had an excellent flight""",Business Class,2019-10-29,United Kingdom,yes
"""very happy with this short flight""",Business Class,2019-10-27,United Kingdom,yes
"""Worst customer experience""",Economy Class,2019-10-27,United Kingdom,no
"""three hours to get rebooking""",Economy Class,2019-10-26,Germany,no
"""an awesome experience""",Economy Class,2019-10-25,India,no
"""seat are surprisingly comfortable""",Business Class,2019-10-25,Switzerland,no
"""clueless staff full of attitude""",Economy Class,2019-10-25,United Kingdom,no
"""Extremely poor communication""",Economy Class,2019-10-24,United Kingdom,no
"""The seat was uncomfortable""",Premium Economy,2019-10-20,Australia,no
"""did not mention it was normal coffee""",Premium Economy,2019-10-20,Argentina,no
"""crew were very attentive""",Business Class,2019-10-20,United Kingdom,yes
"""45 minutes before my bag came""",Economy Class,2019-10-19,United States,no
"""comfortable seats""",Economy Class,2019-10-16,Jordan,yes
"""glorified budget airline""",Economy Class,2019-10-16,United Kingdom,no
"""easily the most cramped space I have ever flown""",Economy Class,2019-10-16,United States,no
"""Seats were uncomfortable""",Premium Economy,2019-10-15,Argentina,no
"""It’s almost like a low cost""",Economy Class,2019-10-13,Mexico,yes
"""Couldn’t ask for more""",Economy Class,2019-10-12,United Kingdom,yes
"""zero feeling of comfort""",Premium Economy,2019-10-12,United Kingdom,no
"""they were really good""",Economy Class,2019-10-11,United Kingdom,yes
"""cancelled and rescheduled""",Economy Class,2019-10-11,South Africa,no
"""the experience was outstanding""",Business Class,2019-10-09,United Kingdom,yes
"""first and definitely last time""",Economy Class,2019-10-09,United States,no
"""appreciate your excellent service""",Economy Class,2019-10-09,United Kingdom,yes
"""one of the worst experiences""",Economy Class,2019-10-09,United Kingdom,no
"""seats on the flight were comfortable""",Economy Class,2019-10-08,United Kingdom,yes
"""seats are incredibly uncomfortable""",Economy Class,2019-10-08,Canada,yes
"""such a pleasant experience""",Economy Class,2019-10-07,Malaysia,yes
"""Another pleasant flight""",Business Class,2019-10-06,United Kingdom,yes
"""Better than I was expecting""",Premium Economy,2019-10-06,United Kingdom,yes
"""zero customer service""",Premium Economy,2019-10-03,United States,no
"""there is no lounge at Kos""",Business Class,2019-10-02,United Kingdom,no
"""Club Europe had no advantages""",Business Class,2019-10-02,United Kingdom,yes
"""Very enjoyable flight""",Premium Economy,2019-10-01,United Kingdom,yes
"""No room to move""",Economy Class,2019-09-30,United Kingdom,no
"""staff wonderful. cheerful, efficient""",Business Class,2019-09-28,United Kingdom,yes
"""it was the most enjoyable flight""",Business Class,2019-09-28,United Kingdom,yes
"""I never received the refund""",Economy Class,2019-09-27,United Kingdom,no
"""not too bad, all in all""",Business Class,2019-09-26,United Kingdom,yes
"""Delays after delays""",Economy Class,2019-09-26,Italy,no
"""a great flight""",Business Class,2019-09-23,Japan,yes
"""the value was very good""",Economy Class,2019-09-21,United Kingdom,yes
"""Abysmal customer services""",Business Class,2019-09-19,United Kingdom,no
"""no different to a budget airline""",Economy Class,2019-09-19,United Kingdom,no
"""wanted to change our departure date""",Business Class,2019-09-18,United States,no
"""a nightmare""",Premium Economy,2019-09-17,United States,no
"""lacklustre at best""",Business Class,2019-09-16,United Kingdom,no
"""don’t know which airline is at fault""",Economy Class,2019-09-16,United States,no
"""decline in the service level""",Business Class,2019-09-15,United Kingdom,no
"""suitcase was 4cm oversize""",Economy Class,2019-09-15,United Kingdom,no
"""Full credit to the crew""",Economy Class,2019-09-14,United Kingdom,no
"""What an awful plane""",Economy Class,2019-09-13,United Kingdom,no
"""inflight service was top notch""",Business Class,2019-09-12,United Kingdom,yes
"""Still recommended by me""",Economy Class,2019-09-11,United Kingdom,yes
"""a waste of money""",Business Class,2019-09-10,Switzerland,no
"""welcome wasn’t especially friendly""",Business Class,2019-09-10,Sweden,no
"""been upgraded to Club World""",Business Class,2019-09-08,United Kingdom,yes
"""standards on BA have plummeted""",Economy Class,2019-09-07,United Kingdom,no
"""Good value flight""",Economy Class,2019-09-06,United Arab Emirates,yes
"""not worth the money""",Business Class,2019-09-06,United Kingdom,no
"""the food was horrendous""",Premium Economy,2019-09-04,Australia,no
"""buyer beware""",Business Class,2019-09-04,United States,no
"""a waste of money""",Business Class,2019-09-01,United Kingdom,no
"""trip has been really smooth""",Economy Class,2019-08-29,United Kingdom,yes
"""she looked after me so well""",Economy Class,2019-08-28,Malaysia,yes
"""feel worthless as a customer""",Business Class,2019-08-28,United Kingdom,no
"""asked them to cancel my ticket""",Economy Class,2019-08-26,Taiwan,no
"""Overall, the journey was great""",First Class,2019-08-25,China,yes
"""you will not be able to get any help""",Business Class,2019-08-24,United States,no
"""They were beyond amazing!""",Economy Class,2019-08-24,United Kingdom,yes
"""flight was cancelled 3 days in a row""
",Premium Economy,2019-08-23,United States,no
"""service was totally unacceptable""",Economy Class,2019-08-23,Hong Kong,no
"""customer service is increasingly low cost in feel""",Business Class,2019-08-22,United Kingdom,no
"""crew were very helpful""",Economy Class,2019-08-21,United Kingdom,no
"""Crew on board very friendly and helpful""",Business Class,2019-08-21,Canada,yes
"""crew were welcoming and informative""",Economy Class,2019-08-21,United Kingdom,yes
"""would do everything to never fly British Airways again""",Premium Economy,2019-08-20,United States,no
"""aircraft was narrow""",Economy Class,2019-08-17,United Kingdom,no
"""Excellent customer service""",Economy Class,2019-08-15,United Kingdom,yes
"""There is enough legroom2",Economy Class,2019-08-14,Hong Kong,yes
"""will try to avoid this airline""",Economy Class,2019-08-14,United Kingdom,no
"""seats are aging and uncomfortable""",Business Class,2019-08-13,Australia,no
"""the flight was very pleasant""",Economy Class,2019-08-12,Slovakia,yes
"""A shambolic airline""",Business Class,2019-08-11,United Kingdom,no
"""Extremely disappointed trip""",Business Class,2019-08-10,Australia,no
"""Utterly appalling""",Economy Class,2019-08-09,United Kingdom,no
"""Very tired and disappointed""",Economy Class,2019-08-09,United Kingdom,no
"""awful experience from beginning to end""",Economy Class,2019-08-09,United Kingdom,no
"""a below average service""",Economy Class,2019-08-09,United Kingdom,no
"""they managed to cut more costs""",Economy Class,2019-08-08,United Kingdom,no
"""time for some heads to roll""",Business Class,2019-08-07,United Kingdom,no
"""Trip was basic""",Economy Class,2019-08-06,United Kingdom,no
"""split all family quite far away apart""",Economy Class,2019-08-02,United Kingdom,no
"""Staff  not in high standards""",Economy Class,2019-08-02,United Kingdom,no
"""pretty good, despite the delay""",Economy Class,2019-08-02,United Kingdom,yes
"""due to the delay I had to miss it""",Business Class,2019-08-02,Kuwait,no
"""made memorable by air hostess""",Economy Class,2019-08-01,United Kingdom,yes
"""seat is quite comfortable.""",Economy Class,2019-08-01,Hong Kong,yes
"""What a useless organisation""",Premium Economy,2019-07-31,United Kingdom,no
"""are staff preparing to go on strike""",Business Class,2019-07-31,United Kingdom,no
"""777 aircraft is looking old""",Economy Class,2019-07-30,United Kingdom,no
"""Thank you so much!""",Economy Class,2019-07-30,South Africa,yes
"""Noisy cabin, tiny screens""",Economy Class,2019-07-30,United Kingdom,no
"""worst business class experience""",Business Class,2019-07-29,United States,no
"""flight has improved my opinion on British Airways""",Economy Class,2019-07-29,Thailand,yes
"""seat comfort has been sacrificed""",Economy Class,2019-07-28,United Kingdom,yes
"""delayed by 3 hours""",Economy Class,2019-07-27,United Kingdom,no
"""professional and very friendly""",Premium Economy,2019-07-24,United Arab Emirates,yes
"""staff were helpful and friendly""",Economy Class,2019-07-21,Israel,yes
"""sent to the wrong baggage drop""
",Business Class,2019-07-20,New Zealand,no
"""team was very friendly""",Business Class,2019-07-18,Belgium,yes
"""The meal was inedible""",Business Class,2019-07-16,Australia,no
"""no apologies from the staff""",Business Class,2019-07-15,United Kingdom,no
"""don’t waste your money on an overnight flight""",Premium Economy,2019-07-14,United Kingdom,yes
"""Meal service had no choice""",Business Class,2019-07-13,Australia,no
"""changed to late evening arrival""",Economy Class,2019-07-12,United Kingdom,no
"""nothing left of business class""",Business Class,2019-07-10,Canada,no
"""would not help compensate\2",Economy Class,2019-07-10,United States,no
"""flight dispatcher closed the flight""",Economy Class,2019-07-08,United Kingdom,no
"""Complete confusion""",Economy Class,2019-07-07,United Kingdom,no
"""I asked to be put in a hotel""",Economy Class,2019-07-06,United Kingdom,no
"""Staff on both flights fine""",Economy Class,2019-07-05,United Kingdom,yes
"""last we saw of the crew for 4 hours""",Economy Class,2019-07-04,United Kingdom,no
"""outstanding courtesy and service""",Economy Class,2019-07-02,United Kingdom,yes
"""last ever trip on BA""",Economy Class,2019-07-02,Spain,no
"""went above and beyond for me""",Economy Class,2019-07-01,United Kingdom,yes
"""delayed by over 3hrs""",Economy Class,2019-06-30,Germany,no
"""a positive experience""",Economy Class,2019-06-29,United States,yes
"""staff went above and beyond""",Economy Class,2019-06-28,United Kingdom,yes
"""10/10 for this flight""",Business Class,2019-06-27,United Kingdom,yes
"""a very enjoyable trip""",Business Class,2019-06-27,United Kingdom,yes
"""Outbound flight was fine""",Economy Class,2019-06-26,United Kingdom,yes
"""all in all decent flights""",Economy Class,2019-06-26,United Kingdom,yes
"""Terminal 5 is the most bizarre""",Economy Class,2019-06-24,United Kingdom,no
"""I was told the gate was shut""",Economy Class,2019-06-24,Australia,no
"""the cabin crew were great""",Economy Class,2019-06-22,United Kingdom,yes
"""return flight was very cold""",Economy Class,2019-06-20,United Kingdom,no
"""Crew was pretty average""",Economy Class,2019-06-17,United States,no
"""certainly one of the worst""",Business Class,2019-06-16,United Kingdom,no
"""more cramped than I expected""",Economy Class,2019-06-14,United Kingdom,no
"""ready with another ticket""",Economy Class,2019-06-14,United Kingdom,no
"""Not worth the money""",Business Class,2019-06-12,United States,no
"""So much for British Airways""",Economy Class,2019-06-09,Australia,no
"""cramped seat with no lights""",Economy Class,2019-06-09,United States,no
"""special meal not on either flight""",Economy Class,2019-06-08,United States,no
"""I might fly them again""",Economy Class,2019-06-07,United States,no
"""the crew that was so nice""",Economy Class,2019-06-07,Spain,yes
"""my luggage arrived soaking wet""",Business Class,2019-06-06,United Kingdom,no
"""high level of service and friendliness""",First Class,2019-06-06,Qatar,yes
"""process was ridiculously slow""",Economy Class,2019-06-06,United Kingdom,no
"""suitcase didn’t arrive""",Economy Class,2019-06-05,United Kingdom,no
"""wanted to return a day early""",Economy Class,2019-06-04,United States,no
"""asked me to keep my luggage down""",Economy Class,2019-06-02,India,yes
"""first class experience""",First Class,2019-06-02,United Kingdom,yes
"""cancelled as we missed outgoing flight""",Economy Class,2019-06-01,United Kingdom,no
"""service went from good to superb""",Economy Class,2019-05-30,United Kingdom,yes
"""trying to seat together""",Economy Class,2019-05-29,South Africa,no
"""couple of very good flights""",Economy Class,2019-05-28,United Kingdom,yes
"""service on this flight was superb""",Business Class,2019-05-28,South Africa,yes
"""Very nice experience""",Business Class,2019-05-27,United States,yes
"""an old style business class experience""",Business Class,2019-05-27,United Kingdom,yes
"""The legroom was terrible""",Economy Class,2019-05-27,United Kingdom,no
"""seat was uncomfortable""",Economy Class,2019-05-26,United Kingdom,no
"""comfort was very bad""",Economy Class,2019-05-23,United Kingdom,no
"""expected a better level of attention to detail""",Business Class,2019-05-23,Australia,no
"""an hour or so to drop off luggage""",Economy Class,2019-05-23,United Kingdom,no
"""return flight extremely poor""",Economy Class,2019-05-22,United Kingdom,no
"""should not have to pay water """,Economy Class,2019-05-20,United Kingdom,no
"""crew were very efficient""",Business Class,2019-05-20,Canada,yes
"""Overall a decent flight""",Economy Class,2019-05-19,United Kingdom,yes
"""Was very comfortable""",Economy Class,2019-05-18,United States,yes
"""a pretty good flight""",First Class,2019-05-18,United Kingdom,yes
"""the excellent cabin crew""",Economy Class,2019-05-17,United Kingdom,yes
"""check in my bag at the gate""",Economy Class,2019-05-16,United Kingdom,no
British Airways customer review,Business Class,2019-05-13,United Kingdom,no
"""was very disappointed""",Premium Economy,2019-05-11,United Kingdom,no
"""baggage is always last off""",Business Class,2019-05-10,United Kingdom,no
"""BA were way ahead of the competition""",Economy Class,2019-05-08,United Kingdom,yes
"""four rows away from my partner""",Business Class,2019-05-08,United Kingdom,no
"""nothing too much trouble""",First Class,2019-05-07,United Kingdom,yes
"""pleasant and professional""",Economy Class,2019-05-07,United Kingdom,yes
"""disappointing business class""",Business Class,2019-05-04,United Kingdom,no
"""customer service is horrible""",Economy Class,2019-05-04,United States,no
"""Thanks to the crew""",Economy Class,2019-05-02,United Kingdom,yes
"""delayed for 5 hours""",Economy Class,2019-05-01,Romania,no
"""impeccable, attentive and delightful""",Business Class,2019-05-01,Canada,yes
"""staff were absolutely delightful""",Business Class,2019-05-01,United Kingdom,yes
"""Perfect welcome""",Business Class,2019-04-30,United Kingdom,yes
"""appears it was a window""",Economy Class,2019-04-29,United Kingdom,no
"""worst business class trip""",Business Class,2019-04-29,Australia,no
"""no longer getting compensated""",Economy Class,2019-04-27,United Kingdom,no
"""found the crew very friendly""",Economy Class,2019-04-23,India,yes
"""seats had been changed by BA""",Business Class,2019-04-23,United Kingdom,no
"""a very good overall service""",Economy Class,2019-04-22,United Kingdom,yes
"""the product is outdated""",Business Class,2019-04-18,United States,no
"""Flight was good""",Business Class,2019-04-18,United Kingdom,yes
"""Not good for business""",Business Class,2019-04-17,United States,no
"""behind the competition""",Business Class,2019-04-14,Qatar,yes
"""staff exceptionally friendly""",Economy Class,2019-04-14,United Kingdom,yes
"""personal space is so tight""",Business Class,2019-04-14,United Kingdom,no
"""arrived reasonably promptly""",Economy Class,2019-04-14,United Kingdom,no
"""very professional and pleasant""",Economy Class,2019-04-13,United Kingdom,yes
"""a fantastic flight""",First Class,2019-04-12,United Kingdom,yes
"""onboard service was abysmal""",Business Class,2019-04-11,United Kingdom,no
"""both involuntarily downgraded""",Economy Class,2019-04-11,United Kingdom,no
"""had to have a middle seat""",Economy Class,2019-04-10,United Kingdom,no
"""food portions so meagre""",Economy Class,2019-04-06,India,no
"""Seats very uncomfortable""",Economy Class,2019-04-01,Germany,no
"""treat customers with care.""",Economy Class,2019-04-01,United Kingdom,yes
"""nothing has changed""",Business Class,2019-04-01,Qatar,yes
"""best short haul flight""",Business Class,2019-03-29,United Kingdom,yes
"""Very, very mediocre""",Economy Class,2019-03-28,United Kingdom,no
"""The crew were excellent""",Economy Class,2019-03-23,United Kingdom,yes
"""Service on board was excellent""",First Class,2019-03-23,United Kingdom,yes
"""special meal was not available""",First Class,2019-03-21,United States,no
"""my question never answered""",Economy Class,2019-03-19,United Kingdom,yes
"""the worst experience""",First Class,2019-03-19,Norway,no
"""Effectively a budget airline""",Economy Class,2019-03-18,United Kingdom,no
"""such a poor product""",Economy Class,2019-03-16,United Kingdom,no
"""a good product and service""",Business Class,2019-03-14,United Kingdom,yes
"""missed my connecting flight""",Economy Class,2019-03-14,United States,no
"""wouldn't allow change of dates""",Business Class,2019-03-13,United Kingdom,no
"""online website is very clear""",Economy Class,2019-03-13,United Kingdom,yes
"""No online check-in available""",Economy Class,2019-03-12,United Kingdom,no
"""won't reimburse me""",Economy Class,2019-03-11,United States,no
"""service is of good quality""",Economy Class,2019-03-09,United Kingdom,yes
"""effectively a low cost airline""",Business Class,2019-03-09,United Kingdom,no
"""a very pleasant flight""",Economy Class,2019-03-08,United Kingdom,yes
"""The most miserable rip off""",Business Class,2019-03-07,United Kingdom,no
"""planes are ancient""",Economy Class,2019-03-04,United States,no
"""British Airways are a disgrace""",Economy Class,2019-03-03,United Kingdom,no
"""crew on this flight amazing""",Economy Class,2019-03-03,United Kingdom,yes
"""Last long haul BA flight""",Economy Class,2019-03-02,United Kingdom,no
"""business class is just coach class""",Business Class,2019-02-28,United States,no
"""out of date airplanes""",Business Class,2019-02-26,United Kingdom,no
"""twenty years out of date""",First Class,2019-02-26,United Kingdom,no
"""Very disappointing service""",Economy Class,2019-02-25,United Kingdom,no
"""canceled 3 hours before""",Economy Class,2019-02-24,United Kingdom,no
"""no pre-dinner drinks served""",Business Class,2019-02-23,South Africa,no
"""the breakfast has improved""",Economy Class,2019-02-22,United Kingdom,yes
"""knowledgeable and nice agent""",Premium Economy,2019-02-20,United States,yes
"""worth the price""",Premium Economy,2019-02-20,South Korea,yes
"""this was a good flight""",Premium Economy,2019-02-19,United Kingdom,yes
"""negligent in the extreme""",Business Class,2019-02-19,United Kingdom,no
"""Much improved, well done""",Business Class,2019-02-18,United Kingdom,yes
"""crew were very friendly""",Economy Class,2019-02-18,United Kingdom,yes
"""pay BA to check the new bag""",Economy Class,2019-02-15,United States,no
"""would be my last choice""",Economy Class,2019-02-15,Spain,no
"""is not worth the fare""",First Class,2019-02-13,Sweden,no
"""IT systems went down""",Economy Class,2019-02-12,United Kingdom,no
"""overall experience was terrible""",Economy Class,2019-02-12,Netherlands,no
"""an amazing experience""",Premium Economy,2019-02-12,United Kingdom,yes
"""both felt a bit disappointed""",Business Class,2019-02-11,United Kingdom,yes
"""cabin staff were fantastic""",First Class,2019-02-11,United Kingdom,yes
"""he made my experience""",Economy Class,2019-02-10,United Kingdom,yes
"""Online Check-in did not work""",Premium Economy,2019-02-04,Germany,no
"""Reclaiming lost baggage was simple""",Economy Class,2019-02-04,United Kingdom,yes
"""don't care about customers""",Business Class,2019-02-03,France,no
"""Quick and easy flight""",Economy Class,2019-02-03,United States,yes
"""an average experience""",Business Class,2019-02-03,United Kingdom,yes
"crew were extremely noisy""",Economy Class,2019-02-02,India,no
