reviews,seat_type,date,country,recommend
"“somewhere below easyJet, above Ryanair”",Economy Class,2024-08-21,United Kingdom,no
"""zero response from BA to reimburse us""",Economy Class,2024-08-18,United States,no
"""no acknowledgment or resolution""",Economy Class,2024-08-15,United Kingdom,no
"""Outstanding service"" ",Business Class,2024-08-12,United Kingdom,yes
"""the crew were fabulous""",Economy Class,2024-08-12,Lebanon,yes
“customer service has been horrible”,Economy Class,2024-08-11,United States,no
"""Not as much as an apology""",Economy Class,2024-08-09,United Kingdom,no
"""no one attending or caring""",Economy Class,2024-08-08,United States,no
“disappointed in British Airways”,Economy Class,2024-08-08,United States,no
"""easy and enjoyable flight""",Economy Class,2024-08-07,Lebanon,yes
"""Crew were amazing and attentive""",Business Class,2024-08-07,United Kingdom,yes
"""missed my connecting flight""",Economy Class,2024-08-05,United States,no
“time to change leadership team”,Economy Class,2024-08-03,Italy,no
"""avoid it at all cost!"" ",Business Class,2024-08-02,Australia,no
“Great customer service from BA”,Business Class,2024-08-02,United Kingdom,yes
"""Absolute worst travel experience""",Economy Class,2024-07-30,United States,no
"""one of the worst airlines""",Business Class,2024-07-30,United Kingdom,no
"""my travel pram confiscated from me""",Economy Class,2024-07-28,United Kingdom,no
“VERY uncomfortable seats”,Economy Class,2024-07-19,United States,no
"""substandard business class experience""",Business Class,2024-07-16,New Zealand,yes
"""Customer Service is shocking""",Economy Class,2024-07-15,United Kingdom,no
"""left me extremely disappointed"" ",Economy Class,2024-07-09,Germany,no
“customer service was awful”,Economy Class,2024-07-05,United Kingdom,no
"""over 2 weeks to respond"" ",Economy Class,2024-07-01,Canada,no
“wholly inadequate customer service”,Economy Class,2024-06-30,United Kingdom,no
“the cabin crew were great”,Business Class,2024-06-26,United Kingdom,yes
"""cannot recommend BA""",Economy Class,2024-06-23,Canada,no
“a very poor last impression of BA”,Business Class,2024-06-23,Canada,no
"""happy to recommend BA""",Business Class,2024-06-18,United Kingdom,yes
"""cancelled our return flight"" ",Economy Class,2024-06-18,United Kingdom,no
"""Very good experience all round""",Business Class,2024-06-17,United Kingdom,yes
"""inflight service was efficient and friendly""",Premium Economy,2024-06-17,United Kingdom,yes
“worst airline I’ve ever flown”,Economy Class,2024-06-16,United States,no
"""Cabin crew were great""",Business Class,2024-06-15,United Kingdom,no
"""flight itself was quite good""",Business Class,2024-06-10,United Kingdom,yes
"""You expect better from BA""",Premium Economy,2024-06-09,United Kingdom,no
"“never fly British Airways""",Business Class,2024-06-06,United States,no
“we will rethink BA moving forward”,Business Class,2024-06-03,United Kingdom,no
“extremely poor customer service”,Premium Economy,2024-06-01,United States,no
“a pleasant and civilized journey”,Economy Class,2024-06-01,United Kingdom,yes
"""the worst BA flight we've experienced""",Economy Class,2024-05-31,United States,no
"""Never again British Airways""",Business Class,2024-05-31,Austria,no
"""only been offered half a glass of water""",Economy Class,2024-05-30,South Africa,no
"""told by cabin crew I would be refunded""",Economy Class,2024-05-29,United Kingdom,no
“premium price for a sub-par product”,Business Class,2024-05-26,United Kingdom,no
"""can't even choose my own seat""",Economy Class,2024-05-20,United States,no
“Very impressed with BA”,Economy Class,2024-05-18,United Kingdom,yes
"""appalling customer service""",Business Class,2024-05-14,United Kingdom,no
"""baggage customer service is a joke""",Economy Class,2024-05-08,Canada,no
"""Worst business class ever""",Business Class,2024-05-08,Italy,no
"""replicating the likes of Ryanair""",Economy Class,2024-05-07,United Kingdom,no
"""declined to offer compensation"" ",Economy Class,2024-05-05,United Kingdom,no
"""onboard like discount carriers""",Economy Class,2024-05-01,Denmark,yes
"""Never using them again""",Economy Class,2024-04-30,United Kingdom,no
"""undiscerning and insincere compensation""",Economy Class,2024-04-27,Singapore,no
"""mock and insult your passengers""",Economy Class,2024-04-25,United Kingdom,no
"""lost my luggage on both flights""",Economy Class,2024-04-22,United Kingdom,no
"""the worst experience"" ",Premium Economy,2024-04-20,United States,no
"""The flights were okay""",Economy Class,2024-04-12,Netherlands,no
“entire experience has been stressful”,Premium Economy,2024-04-10,United States,no
"""whole experience was awful""",Economy Class,2024-04-10,United States,no
“This is true service”,Business Class,2024-04-07,United States,yes
"""Flight attendants welcoming""",Business Class,2024-04-03,United Kingdom,yes
"""the service was appalling""",Business Class,2024-04-02,United Kingdom,no
"""service was slow and unfriendly""",Business Class,2024-04-02,United Kingdom,no
"""a really lovely flight"" ",Business Class,2024-03-28,United Kingdom,yes
"""travelling with British Airways so stressful""",Economy Class,2024-03-28,United Kingdom,no
“didn't find the crew particularly welcoming”,Business Class,2024-03-26,United Kingdom,yes
"""I would say disappointing"" ",Economy Class,2024-03-26,United Kingdom,yes
